Date and Time,sampling feature/location,citation," Barometric pressure -unit-kPa-processing level-L0",quality code,quality annotation,
2019-04-01 07:45:00," Quebrada Sonadora",,97.091,Good,,
2019-04-01 08:00:00," Quebrada Sonadora",,97.096,Good,,
2019-04-01 08:15:00," Quebrada Sonadora",,97.1,Good,,
2019-04-01 08:30:00," Quebrada Sonadora",,97.138,Good,,
2019-04-01 08:45:00," Quebrada Sonadora",,97.161,Good,,
2019-04-01 09:00:00," Quebrada Sonadora",,97.167,Good,,
2019-04-01 09:15:00," Quebrada Sonadora",,97.212,Good,,
2019-04-01 09:30:00," Quebrada Sonadora",,97.231,Good,,
2019-04-01 09:45:00," Quebrada Sonadora",,97.238,Good,,
2019-04-01 10:00:00," Quebrada Sonadora",,97.253,Good,,
2019-04-01 10:15:00," Quebrada Sonadora",,97.236,Good,,
2019-04-01 10:30:00," Quebrada Sonadora",,97.223,Good,,
2019-04-01 10:45:00," Quebrada Sonadora",,97.23,Good,,
2019-04-01 11:00:00," Quebrada Sonadora",,97.225,Good,,
2019-04-01 11:15:00," Quebrada Sonadora",,97.232,Good,,
2019-04-01 11:30:00," Quebrada Sonadora",,97.218,Good,,
2019-04-01 11:45:00," Quebrada Sonadora",,97.208,Good,,
2019-04-01 12:00:00," Quebrada Sonadora",,97.193,Good,,
2019-04-01 12:15:00," Quebrada Sonadora",,97.174,Good,,
2019-04-01 12:30:00," Quebrada Sonadora",,97.161,Good,,
2019-04-01 12:45:00," Quebrada Sonadora",,97.127,Good,,
2019-04-01 13:00:00," Quebrada Sonadora",,97.125,Good,,
2019-04-01 13:15:00," Quebrada Sonadora",,97.108,Good,,
2019-04-01 13:30:00," Quebrada Sonadora",,97.082,Good,,
2019-04-01 13:45:00," Quebrada Sonadora",,97.067,Good,,
2019-04-01 14:00:00," Quebrada Sonadora",,97.075,Good,,
2019-04-01 14:15:00," Quebrada Sonadora",,97.05,Good,,
2019-04-01 14:30:00," Quebrada Sonadora",,97.026,Good,,
2019-04-01 14:45:00," Quebrada Sonadora",,97.03,Good,,
2019-04-01 15:00:00," Quebrada Sonadora",,97.011,Good,,
2019-04-01 15:15:00," Quebrada Sonadora",,96.984,Good,,
2019-04-01 15:30:00," Quebrada Sonadora",,96.977,Good,,
2019-04-01 15:45:00," Quebrada Sonadora",,96.97,Good,,
2019-04-01 16:00:00," Quebrada Sonadora",,96.98,Good,,
2019-04-01 16:15:00," Quebrada Sonadora",,96.98,Good,,
2019-04-01 16:30:00," Quebrada Sonadora",,96.97,Good,,
2019-04-01 16:45:00," Quebrada Sonadora",,96.994,Good,,
2019-04-01 17:00:00," Quebrada Sonadora",,97.002,Good,,
2019-04-01 17:15:00," Quebrada Sonadora",,97.004,Good,,
2019-04-01 17:30:00," Quebrada Sonadora",,97.009,Good,,
2019-04-01 17:45:00," Quebrada Sonadora",,96.995,Good,,
2019-04-01 18:00:00," Quebrada Sonadora",,97.01,Good,,
2019-04-01 18:15:00," Quebrada Sonadora",,97.02,Good,,
2019-04-01 18:30:00," Quebrada Sonadora",,97.032,Good,,
2019-04-01 18:45:00," Quebrada Sonadora",,97.023,Good,,
2019-04-01 19:00:00," Quebrada Sonadora",,97.023,Good,,
2019-04-01 19:15:00," Quebrada Sonadora",,97.055,Good,,
2019-04-01 19:30:00," Quebrada Sonadora",,97.068,Good,,
2019-04-01 19:45:00," Quebrada Sonadora",,97.104,Good,,
2019-04-01 20:00:00," Quebrada Sonadora",,97.1,Good,,
2019-04-01 20:15:00," Quebrada Sonadora",,97.137,Good,,
2019-04-01 20:30:00," Quebrada Sonadora",,97.156,Good,,
2019-04-01 20:45:00," Quebrada Sonadora",,97.166,Good,,
2019-04-01 21:00:00," Quebrada Sonadora",,97.185,Good,,
2019-04-01 21:15:00," Quebrada Sonadora",,97.207,Good,,
2019-04-01 21:30:00," Quebrada Sonadora",,97.216,Good,,
2019-04-01 21:45:00," Quebrada Sonadora",,97.207,Good,,
2019-04-01 22:00:00," Quebrada Sonadora",,97.218,Good,,
2019-04-01 22:15:00," Quebrada Sonadora",,97.223,Good,,
2019-04-01 22:30:00," Quebrada Sonadora",,97.225,Good,,
2019-04-01 22:45:00," Quebrada Sonadora",,97.225,Good,,
2019-04-01 23:00:00," Quebrada Sonadora",,97.233,Good,,
2019-04-01 23:15:00," Quebrada Sonadora",,97.238,Good,,
2019-04-01 23:30:00," Quebrada Sonadora",,97.226,Good,,
2019-04-01 23:45:00," Quebrada Sonadora",,97.216,Good,,
2019-04-02 00:00:00," Quebrada Sonadora",,97.202,Good,,
2019-04-02 00:15:00," Quebrada Sonadora",,97.21,Good,,
2019-04-02 00:30:00," Quebrada Sonadora",,97.188,Good,,
2019-04-02 00:45:00," Quebrada Sonadora",,97.176,Good,,
2019-04-02 01:00:00," Quebrada Sonadora",,97.174,Good,,
2019-04-02 01:15:00," Quebrada Sonadora",,97.162,Good,,
2019-04-02 01:30:00," Quebrada Sonadora",,97.172,Good,,
2019-04-02 01:45:00," Quebrada Sonadora",,97.154,Good,,
2019-04-02 02:00:00," Quebrada Sonadora",,97.135,Good,,
2019-04-02 02:15:00," Quebrada Sonadora",,97.116,Good,,
2019-04-02 02:30:00," Quebrada Sonadora",,97.094,Good,,
2019-04-02 02:45:00," Quebrada Sonadora",,97.104,Good,,
2019-04-02 03:00:00," Quebrada Sonadora",,97.092,Good,,
2019-04-02 03:15:00," Quebrada Sonadora",,97.09,Good,,
2019-04-02 03:30:00," Quebrada Sonadora",,97.068,Good,,
2019-04-02 03:45:00," Quebrada Sonadora",,97.058,Good,,
2019-04-02 04:00:00," Quebrada Sonadora",,97.068,Good,,
2019-04-02 04:15:00," Quebrada Sonadora",,97.07,Good,,
2019-04-02 04:30:00," Quebrada Sonadora",,97.08,Good,,
2019-04-02 04:45:00," Quebrada Sonadora",,97.116,Good,,
2019-04-02 05:00:00," Quebrada Sonadora",,97.085,Good,,
2019-04-02 05:15:00," Quebrada Sonadora",,97.114,Good,,
2019-04-02 05:30:00," Quebrada Sonadora",,97.112,Good,,
2019-04-02 05:45:00," Quebrada Sonadora",,97.139,Good,,
2019-04-02 06:00:00," Quebrada Sonadora",,97.149,Good,,
2019-04-02 06:15:00," Quebrada Sonadora",,97.151,Good,,
2019-04-02 06:30:00," Quebrada Sonadora",,97.168,Good,,
2019-04-02 06:45:00," Quebrada Sonadora",,97.187,Good,,
2019-04-02 07:00:00," Quebrada Sonadora",,97.19,Good,,
2019-04-02 07:15:00," Quebrada Sonadora",,97.209,Good,,
2019-04-02 07:30:00," Quebrada Sonadora",,97.23,Good,,
2019-04-02 07:45:00," Quebrada Sonadora",,97.26,Good,,
2019-04-02 08:00:00," Quebrada Sonadora",,97.262,Good,,
