Date and Time,sampling feature/location,citation," Light Intensity -unit-Lux-processing level-L0",quality code,quality annotation,
2019-03-31 06:15:00," Quebrada Sonadora",,96.9,Good,,
2019-03-31 06:30:00," Quebrada Sonadora",,279.9,Good,,
2019-03-31 06:45:00," Quebrada Sonadora",,570.5,Good,,
2019-03-31 07:00:00," Quebrada Sonadora",,688.9,Good,,
2019-03-31 07:15:00," Quebrada Sonadora",,721.2,Good,,
2019-03-31 07:30:00," Quebrada Sonadora",,1463.9,Good,,
2019-03-31 07:45:00," Quebrada Sonadora",,2152.8,Good,,
2019-03-31 08:00:00," Quebrada Sonadora",,2325.0,Good,,
2019-03-31 08:15:00," Quebrada Sonadora",,2238.9,Good,,
2019-03-31 08:30:00," Quebrada Sonadora",,3616.7,Good,,
2019-03-31 08:45:00," Quebrada Sonadora",,2066.7,Good,,
2019-03-31 09:00:00," Quebrada Sonadora",,990.3,Good,,
2019-03-31 09:15:00," Quebrada Sonadora",,2238.9,Good,,
2019-03-31 09:30:00," Quebrada Sonadora",,3961.1,Good,,
2019-03-31 09:45:00," Quebrada Sonadora",,5166.7,Good,,
2019-03-31 10:00:00," Quebrada Sonadora",,3100.0,Good,,
2019-03-31 10:15:00," Quebrada Sonadora",,10333.4,Good,,
2019-03-31 10:30:00," Quebrada Sonadora",,3788.9,Good,,
2019-03-31 10:45:00," Quebrada Sonadora",,7233.4,Good,,
2019-03-31 11:00:00," Quebrada Sonadora",,7577.8,Good,,
2019-03-31 11:15:00," Quebrada Sonadora",,6544.5,Good,,
2019-03-31 11:30:00," Quebrada Sonadora",,8266.7,Good,,
2019-03-31 11:45:00," Quebrada Sonadora",,7233.4,Good,,
2019-03-31 12:00:00," Quebrada Sonadora",,6544.5,Good,,
2019-03-31 12:15:00," Quebrada Sonadora",,14466.8,Good,,
2019-03-31 12:30:00," Quebrada Sonadora",,10333.4,Good,,
2019-03-31 12:45:00," Quebrada Sonadora",,5166.7,Good,,
2019-03-31 13:00:00," Quebrada Sonadora",,5511.1,Good,,
2019-03-31 13:15:00," Quebrada Sonadora",,7233.4,Good,,
2019-03-31 13:30:00," Quebrada Sonadora",,11711.2,Good,,
2019-03-31 13:45:00," Quebrada Sonadora",,5511.1,Good,,
2019-03-31 14:00:00," Quebrada Sonadora",,7233.4,Good,,
2019-03-31 14:15:00," Quebrada Sonadora",,15844.5,Good,,
2019-03-31 14:30:00," Quebrada Sonadora",,19977.9,Good,,
2019-03-31 14:45:00," Quebrada Sonadora",,8266.7,Good,,
2019-03-31 15:00:00," Quebrada Sonadora",,11022.3,Good,,
2019-03-31 15:15:00," Quebrada Sonadora",,24800.2,Good,,
2019-03-31 15:30:00," Quebrada Sonadora",,7233.4,Good,,
2019-03-31 15:45:00," Quebrada Sonadora",,8611.2,Good,,
2019-03-31 16:00:00," Quebrada Sonadora",,22044.6,Good,,
2019-03-31 16:15:00," Quebrada Sonadora",,8266.7,Good,,
2019-03-31 16:30:00," Quebrada Sonadora",,5166.7,Good,,
2019-03-31 16:45:00," Quebrada Sonadora",,5166.7,Good,,
2019-03-31 17:00:00," Quebrada Sonadora",,1980.6,Good,,
2019-03-31 17:15:00," Quebrada Sonadora",,1894.5,Good,,
2019-03-31 17:30:00," Quebrada Sonadora",,1280.9,Good,,
2019-03-31 17:45:00," Quebrada Sonadora",,1377.8,Good,,
2019-03-31 18:00:00," Quebrada Sonadora",,1194.8,Good,,
2019-03-31 18:15:00," Quebrada Sonadora",,441.3,Good,,
2019-03-31 18:30:00," Quebrada Sonadora",,118.4,Good,,
2019-03-31 18:45:00," Quebrada Sonadora",,21.5,Good,,
2019-03-31 19:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 19:15:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 19:30:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 19:45:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 20:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 20:15:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 20:30:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 20:45:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 21:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 21:15:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 21:30:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 21:45:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 22:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 22:15:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 22:30:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 22:45:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 23:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 23:15:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 23:30:00," Quebrada Sonadora",,0.0,Good,,
2019-03-31 23:45:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 00:00:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 00:15:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 00:30:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 00:45:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 01:00:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 01:15:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 01:30:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 01:45:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 02:00:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 02:15:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 02:30:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 02:45:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 03:00:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 03:15:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 03:30:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 03:45:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 04:00:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 04:15:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 04:30:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 04:45:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 05:00:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 05:15:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 05:30:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 05:45:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 06:00:00," Quebrada Sonadora",,0.0,Good,,
2019-04-01 06:15:00," Quebrada Sonadora",,43.1,Good,,
2019-04-01 06:30:00," Quebrada Sonadora",,193.8,Good,,
2019-04-01 06:45:00," Quebrada Sonadora",,430.6,Good,,
2019-04-01 07:00:00," Quebrada Sonadora",,592.0,Good,,
2019-04-01 07:15:00," Quebrada Sonadora",,505.9,Good,,
2019-04-01 07:30:00," Quebrada Sonadora",,1248.6,Good,,
2019-04-01 07:45:00," Quebrada Sonadora",,1636.1,Good,,
2019-04-01 08:00:00," Quebrada Sonadora",,2152.8,Good,,
2019-04-01 08:15:00," Quebrada Sonadora",,2755.6,Good,,
2019-04-01 08:30:00," Quebrada Sonadora",,3616.7,Good,,
2019-04-01 08:45:00," Quebrada Sonadora",,4477.8,Good,,
2019-04-01 09:00:00," Quebrada Sonadora",,5166.7,Good,,
2019-04-01 09:15:00," Quebrada Sonadora",,4822.3,Good,,
2019-04-01 09:30:00," Quebrada Sonadora",,6200.0,Good,,
2019-04-01 09:45:00," Quebrada Sonadora",,5511.1,Good,,
2019-04-01 10:00:00," Quebrada Sonadora",,4822.3,Good,,
2019-04-01 10:15:00," Quebrada Sonadora",,4650.0,Good,,
2019-04-01 10:30:00," Quebrada Sonadora",,4133.4,Good,,
2019-04-01 10:45:00," Quebrada Sonadora",,12400.1,Good,,
2019-04-01 11:00:00," Quebrada Sonadora",,6200.0,Good,,
2019-04-01 11:15:00," Quebrada Sonadora",,6200.0,Good,,
2019-04-01 11:30:00," Quebrada Sonadora",,6544.5,Good,,
2019-04-01 11:45:00," Quebrada Sonadora",,6544.5,Good,,
2019-04-01 12:00:00," Quebrada Sonadora",,5511.1,Good,,
2019-04-01 12:15:00," Quebrada Sonadora",,5511.1,Good,,
2019-04-01 12:30:00," Quebrada Sonadora",,5166.7,Good,,
2019-04-01 12:45:00," Quebrada Sonadora",,10677.8,Good,,
2019-04-01 13:00:00," Quebrada Sonadora",,22044.6,Good,,
2019-04-01 13:15:00," Quebrada Sonadora",,21355.7,Good,,
2019-04-01 13:30:00," Quebrada Sonadora",,12400.1,Good,,
2019-04-01 13:45:00," Quebrada Sonadora",,17222.3,Good,,
2019-04-01 14:00:00," Quebrada Sonadora",,88178.4,Good,,
2019-04-01 14:15:00," Quebrada Sonadora",,60622.6,Good,,
2019-04-01 14:30:00," Quebrada Sonadora",,26178.0,Good,,
2019-04-01 14:45:00," Quebrada Sonadora",,9300.1,Good,,
2019-04-01 15:00:00," Quebrada Sonadora",,121245.2,Good,,
2019-04-01 15:15:00," Quebrada Sonadora",,3961.1,Good,,
2019-04-01 15:30:00," Quebrada Sonadora",,6544.5,Good,,
2019-04-01 15:45:00," Quebrada Sonadora",,11711.2,Good,,
2019-04-01 16:00:00," Quebrada Sonadora",,2066.7,Good,,
2019-04-01 16:15:00," Quebrada Sonadora",,8611.2,Good,,
2019-04-01 16:30:00," Quebrada Sonadora",,26178.0,Good,,
2019-04-01 16:45:00," Quebrada Sonadora",,3100.0,Good,,
2019-04-01 17:00:00," Quebrada Sonadora",,4822.3,Good,,
2019-04-01 17:15:00," Quebrada Sonadora",,5166.7,Good,,
2019-04-01 17:30:00," Quebrada Sonadora",,4994.5,Good,,
2019-04-01 17:45:00," Quebrada Sonadora",,5338.9,Good,,
