Date and Time,sampling feature/location,citation," Light Intensity -unit-Lux-processing level-L0",quality code,quality annotation,
2019-06-19 17:15:00," Quebrada Sonadora",,14466.8,Good,,
2019-06-19 17:30:00," Quebrada Sonadora",,2238.9,Good,,
2019-06-19 17:45:00," Quebrada Sonadora",,1463.9,Good,,
2019-06-19 18:00:00," Quebrada Sonadora",,2927.8,Good,,
2019-06-19 18:15:00," Quebrada Sonadora",,925.7,Good,,
2019-06-19 18:30:00," Quebrada Sonadora",,1033.3,Good,,
2019-06-19 18:45:00," Quebrada Sonadora",,355.2,Good,,
2019-06-19 19:00:00," Quebrada Sonadora",,86.1,Good,,
2019-06-19 19:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 19:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 19:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 20:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 20:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 20:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 20:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 21:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 21:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 21:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 21:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 22:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 22:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 22:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 22:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 23:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 23:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 23:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-19 23:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 00:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 00:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 00:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 00:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 01:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 01:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 01:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 01:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 02:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 02:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 02:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 02:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 03:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 03:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 03:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 03:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 04:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 04:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 04:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 04:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 05:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 05:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 05:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 05:45:00," Quebrada Sonadora",,43.1,Good,,
2019-06-20 06:00:00," Quebrada Sonadora",,118.4,Good,,
2019-06-20 06:15:00," Quebrada Sonadora",,258.3,Good,,
2019-06-20 06:30:00," Quebrada Sonadora",,1001.0,Good,,
2019-06-20 06:45:00," Quebrada Sonadora",,721.2,Good,,
2019-06-20 07:00:00," Quebrada Sonadora",,2325.0,Good,,
2019-06-20 07:15:00," Quebrada Sonadora",,2497.2,Good,,
2019-06-20 07:30:00," Quebrada Sonadora",,2066.7,Good,,
2019-06-20 07:45:00," Quebrada Sonadora",,2927.8,Good,,
2019-06-20 08:00:00," Quebrada Sonadora",,1550.0,Good,,
2019-06-20 08:15:00," Quebrada Sonadora",,2755.6,Good,,
2019-06-20 08:30:00," Quebrada Sonadora",,4477.8,Good,,
2019-06-20 08:45:00," Quebrada Sonadora",,5166.7,Good,,
2019-06-20 09:00:00," Quebrada Sonadora",,5511.1,Good,,
2019-06-20 09:15:00," Quebrada Sonadora",,6200.0,Good,,
2019-06-20 09:30:00," Quebrada Sonadora",,7233.4,Good,,
2019-06-20 09:45:00," Quebrada Sonadora",,10333.4,Good,,
2019-06-20 10:00:00," Quebrada Sonadora",,13089.0,Good,,
2019-06-20 10:15:00," Quebrada Sonadora",,10333.4,Good,,
2019-06-20 10:30:00," Quebrada Sonadora",,7577.8,Good,,
2019-06-20 10:45:00," Quebrada Sonadora",,6200.0,Good,,
2019-06-20 11:00:00," Quebrada Sonadora",,5511.1,Good,,
2019-06-20 11:15:00," Quebrada Sonadora",,10333.4,Good,,
2019-06-20 11:30:00," Quebrada Sonadora",,9300.1,Good,,
2019-06-20 11:45:00," Quebrada Sonadora",,7577.8,Good,,
2019-06-20 12:00:00," Quebrada Sonadora",,7577.8,Good,,
2019-06-20 12:15:00," Quebrada Sonadora",,14466.8,Good,,
2019-06-20 12:30:00," Quebrada Sonadora",,19977.9,Good,,
2019-06-20 12:45:00," Quebrada Sonadora",,10333.4,Good,,
2019-06-20 13:00:00," Quebrada Sonadora",,12400.1,Good,,
2019-06-20 13:15:00," Quebrada Sonadora",,12400.1,Good,,
2019-06-20 13:30:00," Quebrada Sonadora",,13089.0,Good,,
2019-06-20 13:45:00," Quebrada Sonadora",,16533.4,Good,,
2019-06-20 14:00:00," Quebrada Sonadora",,11022.3,Good,,
2019-06-20 14:15:00," Quebrada Sonadora",,14466.8,Good,,
2019-06-20 14:30:00," Quebrada Sonadora",,15155.7,Good,,
2019-06-20 14:45:00," Quebrada Sonadora",,20666.8,Good,,
2019-06-20 15:00:00," Quebrada Sonadora",,22044.6,Good,,
2019-06-20 15:15:00," Quebrada Sonadora",,11711.2,Good,,
2019-06-20 15:30:00," Quebrada Sonadora",,7233.4,Good,,
2019-06-20 15:45:00," Quebrada Sonadora",,16533.4,Good,,
2019-06-20 16:00:00," Quebrada Sonadora",,7577.8,Good,,
2019-06-20 16:15:00," Quebrada Sonadora",,10677.8,Good,,
2019-06-20 16:30:00," Quebrada Sonadora",,10677.8,Good,,
2019-06-20 16:45:00," Quebrada Sonadora",,10333.4,Good,,
2019-06-20 17:00:00," Quebrada Sonadora",,11022.3,Good,,
2019-06-20 17:15:00," Quebrada Sonadora",,5338.9,Good,,
2019-06-20 17:30:00," Quebrada Sonadora",,4133.4,Good,,
2019-06-20 17:45:00," Quebrada Sonadora",,3272.2,Good,,
2019-06-20 18:00:00," Quebrada Sonadora",,2238.9,Good,,
2019-06-20 18:15:00," Quebrada Sonadora",,1463.9,Good,,
2019-06-20 18:30:00," Quebrada Sonadora",,850.4,Good,,
2019-06-20 18:45:00," Quebrada Sonadora",,387.5,Good,,
2019-06-20 19:00:00," Quebrada Sonadora",,32.3,Good,,
2019-06-20 19:15:00," Quebrada Sonadora",,10.8,Good,,
2019-06-20 19:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 19:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 20:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 20:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 20:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 20:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 21:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 21:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 21:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 21:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 22:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 22:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 22:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 22:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 23:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 23:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 23:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-20 23:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-21 00:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-21 00:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-21 00:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-21 00:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-21 01:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-21 01:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-21 01:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-21 01:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-21 02:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-21 02:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-21 02:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-21 02:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-21 03:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-21 03:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-21 03:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-21 03:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-21 04:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-21 04:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-21 04:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-21 04:45:00," Quebrada Sonadora",,0.0,Good,,
