Date and Time,sampling feature/location,citation," Stage Height -unit-CM-processing level-L1 passed QAQC",quality code,quality annotation,
2019-04-01 11:16:15," Quebrada Sonadora",,10.38998,Good,,
2019-04-01 11:31:14," Quebrada Sonadora",,10.28853,Good,,
2019-04-01 11:46:15," Quebrada Sonadora",,10.31877,Good,,
2019-04-01 12:01:15," Quebrada Sonadora",,10.31099,Good,,
2019-04-01 12:16:15," Quebrada Sonadora",,10.23825,Good,,
2019-04-01 12:31:14," Quebrada Sonadora",,10.23045,Good,,
2019-04-01 12:46:15," Quebrada Sonadora",,10.13523,Good,,
2019-04-01 13:01:15," Quebrada Sonadora",,10.1592,Good,,
2019-04-01 13:16:15," Quebrada Sonadora",,10.15022,Good,,
2019-04-01 13:31:14," Quebrada Sonadora",,10.12806,Good,,
2019-04-01 13:46:15," Quebrada Sonadora",,10.0999,Good,,
2019-04-01 14:01:15," Quebrada Sonadora",,10.17559,Good,,
2019-04-01 14:16:15," Quebrada Sonadora",,10.23246,Good,,
2019-04-01 14:31:14," Quebrada Sonadora",,10.16398,Good,,
2019-04-01 14:46:15," Quebrada Sonadora",,10.1081,Good,,
2019-04-01 15:01:15," Quebrada Sonadora",,9.997773,Good,,
2019-04-01 15:16:15," Quebrada Sonadora",,10.0326,Good,,
2019-04-01 15:31:14," Quebrada Sonadora",,10.00269,Good,,
2019-04-01 15:46:15," Quebrada Sonadora",,10.01481,Good,,
2019-04-01 16:01:15," Quebrada Sonadora",,9.897139,Good,,
2019-04-01 16:16:15," Quebrada Sonadora",,9.858349,Good,,
2019-04-01 16:31:14," Quebrada Sonadora",,9.877259,Good,,
2019-04-01 16:46:15," Quebrada Sonadora",,9.919734,Good,,
2019-04-01 17:01:15," Quebrada Sonadora",,9.873525,Good,,
2019-04-01 17:16:15," Quebrada Sonadora",,9.800669,Good,,
2019-04-01 17:31:14," Quebrada Sonadora",,9.820247,Good,,
2019-04-01 17:46:15," Quebrada Sonadora",,9.788503,Good,,
2019-04-01 18:01:15," Quebrada Sonadora",,9.718678,Good,,
2019-04-01 18:16:15," Quebrada Sonadora",,9.737173,Good,,
2019-04-01 18:31:14," Quebrada Sonadora",,9.69931,Good,,
2019-04-01 18:46:15," Quebrada Sonadora",,9.708024,Good,,
2019-04-01 19:01:15," Quebrada Sonadora",,9.688573,Good,,
2019-04-01 19:16:15," Quebrada Sonadora",,9.729747,Good,,
2019-04-01 19:31:14," Quebrada Sonadora",,9.782138,Good,,
2019-04-01 19:46:15," Quebrada Sonadora",,9.762835,Good,,
2019-04-01 20:01:15," Quebrada Sonadora",,9.69616,Good,,
2019-04-01 20:16:15," Quebrada Sonadora",,9.702911,Good,,
2019-04-01 20:31:14," Quebrada Sonadora",,9.672391,Good,,
2019-04-01 20:46:15," Quebrada Sonadora",,9.623875,Good,,
2019-04-01 21:01:15," Quebrada Sonadora",,9.62033,Good,,
2019-04-01 21:16:15," Quebrada Sonadora",,9.629915,Good,,
2019-04-01 21:31:14," Quebrada Sonadora",,9.594204,Good,,
2019-04-01 21:46:15," Quebrada Sonadora",,9.587805,Good,,
2019-04-01 22:01:15," Quebrada Sonadora",,9.599725,Good,,
2019-04-01 22:16:15," Quebrada Sonadora",,9.555984,Good,,
2019-04-01 22:31:14," Quebrada Sonadora",,9.560273,Good,,
2019-04-01 22:46:15," Quebrada Sonadora",,9.366474,Good,,
2019-04-01 23:01:15," Quebrada Sonadora",,9.296298,Good,,
2019-04-01 23:16:15," Quebrada Sonadora",,9.24198,Good,,
2019-04-01 23:31:14," Quebrada Sonadora",,9.266678,Good,,
2019-04-01 23:46:15," Quebrada Sonadora",,9.232338,Good,,
2019-04-02 00:01:15," Quebrada Sonadora",,9.2821,Good,,
2019-04-02 00:16:15," Quebrada Sonadora",,9.300271,Good,,
2019-04-02 00:31:14," Quebrada Sonadora",,9.380237,Good,,
2019-04-02 00:46:15," Quebrada Sonadora",,9.403535,Good,,
2019-04-02 01:01:15," Quebrada Sonadora",,9.424506,Good,,
2019-04-02 01:16:15," Quebrada Sonadora",,9.411081,Good,,
2019-04-02 01:31:14," Quebrada Sonadora",,9.373922,Good,,
2019-04-02 01:46:15," Quebrada Sonadora",,9.365082,Good,,
2019-04-02 02:01:15," Quebrada Sonadora",,9.400173,Good,,
2019-04-02 02:16:15," Quebrada Sonadora",,9.38165,Good,,
2019-04-02 02:31:14," Quebrada Sonadora",,9.337016,Good,,
2019-04-02 02:46:15," Quebrada Sonadora",,9.355398,Good,,
2019-04-02 03:01:15," Quebrada Sonadora",,9.326777,Good,,
2019-04-02 03:16:15," Quebrada Sonadora",,9.350771,Good,,
2019-04-02 03:31:14," Quebrada Sonadora",,9.332508,Good,,
